Section-07,Y orig,Xorig,Y,X,,Yplot,Xplot,,Dp-05,HHp-05,MSp-05,Up-05,Di-05,HHi-05,MSi-05,Ui-05,Krum-05,Rock-05,,Dp-07,HHp-07,MSp-07,Up-07,Di-07,HHi-07,MSi-07,Ui-07,Krum-07,Rock-07,Tp-07,,,Dp-14,HHp-14,MSp-14,Up-14,Di-14,HHi-14,MSi-14,Ui-14,Krum-14,Tp-14,,Section-15,local x-15,local y-15,yplot-15,xplot-15,,Krum-15,Dp-15,HHp-15,MSp-15,Up-15,Di-15,HHi-15,MSi-15,Ui-15,Rock-15,,,,Section-18,X,Y,Dp-18,HHp-18,MSp-18,Up-18,Di-18,HHi-18,MSi-18,Ui-18,,Tp-18
LLL,7,8,7,8,,8,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,2,6,8,7,,100,0,0,0,0,0,0,0,0,0,,,,LLL,6,7,2,0,0,0,2,0,0,0,,2
LLL,7,9,7,9,,9,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,1,6,9,7,,100,0,0,0,0,0,0,0,0,0,,,,LLL,6,8,0,0,0,0,0,0,0,0,,0
LLL,7,10,7,10,,10,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,50,0,0,,,0,0,0,0,0,0,0,0,80,0,,LLL,0,6,10,7,,70,0,2,0,0,0,2,0,0,0,,,,LLL,6,9,0,0,0,0,0,0,0,0,,0
LLL,8,1,8,1,,1,8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,9,7,1,8,,100,0,0,0,0,0,0,0,0,0,,,,LLL,7,0,0,0,0,0,0,0,0,0,,0
LLL,8,2,8,2,,2,8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,100,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,8,7,2,8,,100,0,0,0,0,0,0,0,0,0,,,,LLL,7,1,0,0,0,0,0,0,0,0,,0
LLL,8,3,8,3,,3,8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,66.25,0,0,,,0,0,0,0,0,0,0,0,100,0,,LLL,7,7,3,8,,75,0,0,0,0,0,0,0,0,0,,,,LLL,7,2,0,0,0,0,0,0,0,0,,0
LLL,8,4,8,4,,4,8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,3,1,0,1,14,3,0,2,2.5,0,4,,,0,0,0,0,0,0,0,0,25,0,,LLL,6,7,4,8,,6.25,1,0,0,0,1,0,0,0,0,,,,LLL,7,3,0,0,0,0,0,0,0,0,,0
LLL,8,5,8,5,,5,8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,1,0,0,0,3,15,0,0,,,0,0,0,0,0,0,0,0,0,0,,LLL,5,7,5,8,,2.5,0,0,0,0,0,0,0,0,0,,,,LLL,7,4,0,0,0,0,0,0,0,0,,0
LLL,8,6,8,6,,6,8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0,0,0,0,0,0,0,0,0,46,0,,,0,0,0,0,0,0,0,0,90,0,,LLL,4,7,6,8,,24,0,0,0,0,0,0,0,0,0,,,,LLL,7,5,0,0,0,0,0,0,0,0,,0
LLL,8,7,8,7,,7,8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2,0,0,0,6,0,0,0,71.25,21,2,,,0,0,0,0,0,0,0,0,95,0,,LLL,3,7,7,8,,87.5,0,0,0,0,0,0,0,0,0,,,,LLL,7,6,0,0,0,0,0,0,0,0,,0
